UNSPSC,UNSPSC Name,Attribute ID,Attribute Name,Attribute Definition,Data Type,Max Character Length,Is Repeatable,Measurement UoM,Is Mandatory,Coded Value
24102001,Rack systems for rack mount electronic equipment,11114110,Height,"Dimensions (Height/Width/Depth..) are the measurements of the product with respect to its height, width or depth. It may extend to length, diameter and thickness depend upon the product or category rules and standards.",Float,,No,mm,Mandatory,
24102001,Rack systems for rack mount electronic equipment,11834,Length,"Dimensions (Height/Width/Depth..) are the measurements of the product with respect to its height, width or depth. It may extend to length, diameter and thickness depend upon the product or category rules and standards.",Float,,No,mm,Mandatory,
24102001,Rack systems for rack mount electronic equipment,1820,Limited Warranty,"When you make a major purchase, the manufacturer or seller makes an important promise to stand behind the product. It's called a warranty. Warranty specifies the extent to which the quality or performance of the product is assured and states the conditions under which the product can be returned, replaced, or repaired.",Text,254,No,,Mandatory,
24102001,Rack systems for rack mount electronic equipment,179,Material,This is the material by which the product is made of.,Text,254,Yes,,Mandatory,"Fabric,Glass,Laminate,Brushed Aluminum,Brass,Mesh,Metal,Anodized Aluminum,Medium Oak Veneer,Acrylic,Cold-rolled Steel (CRS),Stainless Steel,Steel Mesh,Melamine,Steel,Polyurethane,Leather,Plexiglass,Zinc Plated Steel,Medium Density Fiberboard (MDF),Cold Rolled Steel,Synthetic Rubber,Maple Veneer,Mild Steel,Zintec,Galvanized Steel,Aluminum,Veneer,Perspex,Tinted Glass,Light Oak Veneer,Tempered Glass,Plastic,Fiberglass,Polyamide,Toughened Glass,Graphite,Acrylonitrile Butadiene Styrene (ABS),SPCC,Thermoplastic,Zinc Plated,Rubber,Sheet Metal,Carbon Steel,Wood,Plexiglas,Polyethylene Terephthalate (PET),Wood Grain,Perforated-steel,Polycarbonate,ABS Plastic,Die-cast Zinc,Die-cast Aluminum"
24102001,Rack systems for rack mount electronic equipment,111116444,Maximum Power Supply Wattage,The electric power that can be supplied by the power supply to the device,Float,,No,W,Mandatory,
24102001,Rack systems for rack mount electronic equipment,111115365,Maximum Weight Capacity,Defines the maximum load supported by the product.,Float,,No,g,Mandatory,
24102001,Rack systems for rack mount electronic equipment,172,Package Contents,"Package Contents is a paragraph attribute with a bullet point list of what is contained in the specified products ""package"". It lists all of the items or components included when you purchase the product. This information will be captured whenever the manufacturer makes it available in their product documentation.",String,3800,No,,Mandatory,
24102001,Rack systems for rack mount electronic equipment,113521,Plug/Connector Type,It defines the number of prongs that the plug/connector has.,Coded,254,No,,Mandatory,"NEMA L5-30P,NEMA 5-15P"
24102001,Rack systems for rack mount electronic equipment,111115611,Product Condition,"A number of online dealers and retailers offer products which are labeled as manufacture, refurbished, recertified, or reconditioned. Such products are restored and not new ones, they have most often been returned to the manufacturer because they were unwanted or had some minor defect. Restored products are generally thought to be cheap and poorly fixed products because of their sometimes shorter or no warranties.",Coded,254,No,,Mandatory,"Remarketed,Reconditioned,Recertified,Refurbished,Remanufactured,Used,Pre-owned,Open Box,Original,New"
24102001,Rack systems for rack mount electronic equipment,12389,Product Line,"Product Line is a group of products which are similar in manufacturing procedures, marketing characteristics, or specifications and is majorly identified with a catchy title e.g. iPad, iPhone, WEGA, Corolla, etc.",Coded,254,No,,Mandatory,"NEXTFRAME,Actassi OPB,QuietCab,SmartCabinet,Opt-X Ultra,NetShelter VL,CUBE-iT PLUS,iConverter,ONErack,Swing-EZ,NetShelter SV,FP-RACK,Opt-X,Mini Max,SORACK,Netfinity,PRO,PIXMobile,ServShield,MegaFrame,Structured Media,Select Plus,Actassi KDB,NetShelter SX3K,ThunderRack,varioFLEX,SoHo,10000,VR,NEMA 4X,VWM,Net-Contain,ROTR,HiGain,ECONET CAB,NetShelter AV,Performance Plus,RatiopacPRO,Cisrack,NetShelter SX,RE-BOX,Compaq Rack 10000 Series,SwitchAir,ConAct,Commander,DoubleProRack,Interscale M,FortiRack,DuraRak,Patchmate,NetBAY,EcoLine,Compact,Rack Basics,Enterprise,Dynamic Basic,Select,Mighty Mo,Phantom Class,DataCab,Euro,Net-Verse,Fusion Contract,Catalyst,MiniRaQ,Professional,Economizer,PanZone,NetShelter WX,Verge,HD Flex,NEMA,NetShelter VX,Intelligent,XtremIO,Net-SERV,Epcase,ez-Rack,Smaract,Contractor,InstaRack,BC-Rack,Foundation,Miracel,NetShelter VS,NetRack,ECO-LINE,RackMac Pro,Advanced,Delta S,Compaq Rack 9000 Series,EasySwing,Deluxe,ProductionVIEW,InfraSuite,PowerCat 6,Galaxy VS,PRIMECENTER,MegaTOOLS,OpenGear 3.0,NetFrame,Unique,Carbon,Mini Rack Access,SmartZone,TechEdge,Rack System/E,PureFlex System,Compaq Rack,LINIER,CableSnap,NetShelter ES,Delta 5D,Apollo,Edit Center,Propac PRO,SW-Rack,Powerware,SOHO Access,ExtremeNet,Opticom,ClimateCab,Rax,Actassi,NetShelter,Mini Rack,Elite QuietCab,Universal,TeraFrame,EuropacPRO,INR,Component,Essex,Rackworks,Flexibox,NetBotz,Classic,PowerEdge,V-LINE,Sun Rack II,Proximity,ZyPer,NetShelter EP,Delta 4S,Miracel Plus,Paramount,Actassi VDA,CP-Rack,ReadyRails,DataLINXS,Elite,V-Rack,VT-Rack,NetShelter CX,SuperRack,SmartRack,Net-Access,Flex System,Universal TechBox"
24102001,Rack systems for rack mount electronic equipment,112816,Product Series,A product series is a subset of a product line having products with certain attributes in common. It is usually not a catchy title but few manufacturers may use it interchangeably in place of the product line. It could be a number or series of numbers or letter or series of letters or combination of both numbers and letters.,Coded,254,No,,Mandatory,"RL,N,SRB,RUA,ECR,RS,RB-2PA,RK,ECB-SHELF,100,RCA,WD,DNRM,BGR-SA-MDK,MBRK,DC100,300,WNG,TD,WRK-SA,3102,SH,CFR,VCS,500,10000,WG,REC,MFR,R2,TE 8000,ROTRS,DCE,Pro,ST,IRCS,WSE,DNRMA,RP,HLP,Premium,MCR,RNA,WSM,SNE,WOW,VMRK,VLBX,GRF,DNDM,SFR,EMS,NACS,WA,WX,BGR-SA,ERS,KAR,VWM,WJ,WCB,WMC,POTR,RB-2P,RXA,PPM,SR,3101,S,L5,WN,SWR,RA,WMZ,OCAP,SCRK,400,ISRK,VRK,WQ,BGR,MS,NS1,NE1,UMD,WMK,NACF,IDF,APB,DCF,3104,SBX,TOR,RCS,PTRK,SCB1000,EGR,DC200,GAR,Server Rack,3110,OR-4A,D,NS2,C,200,UTB,MK,RE,CZE,ER,RASE,SRS,RCSC,G1,3103,KD,LB3000,QAR,Q,Elite,CWR,UTVS,NW2,SWM,3100,EMP,E,WRT,ROTR,UD,WB,3106,SPM,WZ,LTC 4637,R,1000i,HDR,WM,RSUS,WMRK,Slim 5,C2,RB-FW,WS,SCB2000,M-Series,UFA,GRK,NAID,FSD,RIB,RB-AV,SDR,AX-SXR,RM3-300,SWCC,F1,3105,WR,ECRR,RDR,WMA,PB,CR,HPM,Network Rack,3120,C4,AXS,APBS,U,SCB3000,VSA,HRF,JPM4000,RX,WRS,2,S1,RC,3170,E1,SRD,ERK,1459,TR,M,CH,RMA,C4RR,UNS,BRK,WOM,ESD,RRTT,SSAX,9000,HWM,MMR,SS-VTR,Enhanced,RKA,ME,4900,AWR,R4,3180,RWM,EXS,EWR,DCM,DNRRHDW,11000 G2,C5,WRP,10000 G2,600,UTS,F,WOR,G2,FWB,DC4R,LT-1Rx,DRK,RKRL,P,RFR,SSHD,T-Series,ES,MRK,RB-WR,RCH,RLA,3107,RKBM,AX-SX,ROTR-XL,NG1,OSR,SRK,FMA,NW1,SRSR,RAS,ERTRACK,WRK,M1,RMAS,HWMR,DWR,RTS,1000,MPR,OBRK,F-Series,3108,500R,CC1600,RBA,RSH,RMS,SAX,WO,ATS,M2,D & M,RFM,DTRK,WU"
24102001,Rack systems for rack mount electronic equipment,1100,Product Type,"A Product Type is a family of products, all members of a product type share similar functions and general characteristics, especially the purpose for which they are used. A product type helps to identify different types of products of a category. A category may have more than one product type.",Coded,254,No,,Mandatory,"Rack Base Template,Shelf Stop,Aisle Containment Vertical Wall,Aisle Containment Integral Roof,Rack Row Connector,Aisle Containment Mid Span Cabinet Support,Aisle Containment Door,Rack Thermal Duct,Riser Feet,Aisle End Panel,Rack Enclosure Latch,Rack Trim Kit,Airflow Diversion/Port Side Exhaust,Rack Rear Extension Frame,Rack Mount Card Cage,Rack Helper,Riser Base,Rack Cabinet,Rack Cabinet Extension,Rack Chimney,Rack Enclosure Skirt,Rack Rail Reducer,Rack Runner Kit,Cabinet Top Seal,Rack Mount Enclosure,Aisle Containment Wall Beam,Rack Cabinet Floor Seal,Rack Adapter,Rack Door Post,Rack Fiber Tray,Vertical Exhaust Duct,Rack Rail,Raised Floor Support Stand,Rack Cross Beam,Rack Air Partitioning,Rack Ceiling Panel Lock System,Rack Baying Bracket,Rack Frame Vertical Post,End of Row Frame,Floor Support Angle,Aisle Width Beam,Aisle Containment End Of Row Frame,Rack Ventilation Unit,Duct Frame Extension,Rack Shelf,Air Baffle Plate,Rack Cabinet Gland Plate,Rack Sliding Seat,Rack Mount Bracket,End Panel Guard,Rack Depth Adapter,Rack Frame Extension,Rack Lifting Handle,Rackmount Kit,Track Stand,Patch Enclosure,Rack Drawer,Patch Frame,Rack Cabinet Roof,Aisle Containment Mid Span Post,Lever Lock Kit,Rack Door Header,Rack Door Handle,Rack Mount Dock,Aisle Containment Door Frame Adapter,Rack Door,Slide Out Rotating Rail System,Rack Hinge,Rack Frame,Rack Document Holder,Rack Plinth,Rack Sliding Rail,Rack Blanking Shade,Slide Out Rail System,Rack Roof Height Adapter,Rack Leveling Foot,Rack Cabinet Side Panel Latch,Rack Shelf Faceplate,Rack Ear,Aisle Containment End of Row Cap,Rotating Pull-Out Rack System,Rack Front Extension Frame,Lever Lock Plate"
24102001,Rack systems for rack mount electronic equipment,111119810,Rack Depth,The useable dimension of the rack from front to back that can support an equipment.,Float,,No,mm,Mandatory,
24102001,Rack systems for rack mount electronic equipment,113185,Rack Height,"A rack unit, U or RU is a unit of measure used to describe the height of equipment intended for mounting in a 19-inch rack or a 23-inch rack. The size of a piece of rack-mounted equipment is frequently described as a number in ""U"". For example, one rack unit is often referred to as ""1U"", 2 rack units as ""2U"" and so on.",Coded,254,No,,Mandatory,"17U,2.5U,1U/2U,19U,47U,100U,37U,6U,0U/1U/2U,13U,38U,50U,16U,3U,0U/1U,20U,25U,12U,21U,23U,51U,24U,29U,42U,49U,18U,11U,45U,34U,30U,4U,0.5U,26U,40U,33U,52U,27U,10U,36U,71U,70U,39U,9U,48U,54U,8U,1.3U,44U,14U,35U,7U,43U,0U,1U,1.5U,46U,22U,58U,15U,5U,36U/42U,32U,41U,28U,31U,2U"
24102001,Rack systems for rack mount electronic equipment,113184,Rack Width,The useable dimension of the rack from left to right side that can support an equipment.,Float,,No,mm,Mandatory,
24102001,Rack systems for rack mount electronic equipment,111119755,Static/Stationary Weight Capacity,Static/Stationary Weight Capacity is a mechanical force applied slowly to an assembly or object. Static weight stays the same and doesn't move around.,Float,,No,g,Mandatory,
24102001,Rack systems for rack mount electronic equipment,111126030,TAA Compliant,"It indicates that the product follows the guidelines put forth in the Trade Agreements Act (19 U.S.C. & 2501-2581), which is intended to promote products either made in the USA or made in free-trade friendly countries.",Coded,254,No,,Mandatory,"No,Yes"
24102001,Rack systems for rack mount electronic equipment,1975,Weight (Approximate),"Weight (Approximate) is the physical weight of the product, as how much does the product weigh. This includes exact weight as well as approximate, if mentioned. This is the weight of product and it must not be confused with the shipping weight or weight included box or Packing.",Float,,Yes,g,Mandatory,
24102001,Rack systems for rack mount electronic equipment,11114111,Width,"Dimensions (Height/Width/Depth..) are the measurements of the product with respect to its height, width or depth. It may extend to length, diameter and thickness depend upon the product or category rules and standards.",Float,,No,mm,Mandatory,
